Order_ID,Order_Date,Customer_ID,Customer_Name,Product_Category,Product_Name,Region,Quantity,Unit_Price,Discount,Revenue,Profit,Sales_Channel
ORD-000001,2023-12-13,CUST-0155,Sarah Rodriguez,Food & Beverage,Coffee Beans 5lb,Middle East,18,219.91,0.09,3602.13,1074.2,Online
ORD-000002,2024-06-06,CUST-0175,Lisa Williams,Electronics,Tablet Air,Latin America,12,321.44,0.21,3047.25,724.66,Online
ORD-000003,2024-09-17,CUST-0223,Thomas Jones,Furniture,Standing Desk,Asia Pacific,15,223.43,0.18,2748.19,1015.4,Phone
ORD-000004,2023-05-15,CUST-0437,Emily Jones,Furniture,Executive Desk,Asia Pacific,15,289.23,0.17,3600.91,1257.01,Partner
ORD-000005,2023-12-28,CUST-0254,Michael Martinez,Office Supplies,Ink Cartridge Set,Latin America,9,176.77,0.22,1240.93,297.38,Retail Store
ORD-000006,2022-06-25,CUST-0142,Sarah Brown,Food & Beverage,Coffee Beans 5lb,Middle East,8,362.84,0.12,2554.39,568.48,Retail Store
ORD-000007,2022-07-10,CUST-0354,Michael Miller,Clothing,Winter Jacket,Latin America,10,118.58,0.17,984.21,352.48,Online
ORD-000008,2023-12-06,CUST-0298,Jessica Anderson,Office Supplies,Whiteboard Kit,Middle East,14,498.35,0.14,6000.13,2066.79,Phone
ORD-000009,2022-09-05,CUST-0233,Anna Martinez,Office Supplies,Stapler Deluxe,Asia Pacific,7,164.62,0.19,933.4,153.77,Retail Store
ORD-000010,2023-07-21,CUST-0354,Michael Miller,Furniture,Ergonomic Chair,Europe,19,488.54,0.13,8075.57,2948.39,Partner
ORD-000011,2023-01-03,CUST-0052,Thomas Wilson,Furniture,Conference Table,Europe,10,16.93,0.13,147.29,54.16,Direct Sales
ORD-000012,2024-10-02,CUST-0499,Sarah Johnson,Electronics,4K Monitor,Asia Pacific,4,437.63,0.14,1505.45,465.46,Retail Store
ORD-000013,2024-09-05,CUST-0226,Sarah Jones,Office Supplies,Ink Cartridge Set,North America,4,412.84,0.1,1486.22,635.77,Direct Sales
ORD-000014,2023-09-15,CUST-0323,Maria Martinez,Electronics,Wireless Headphones,Europe,3,497.02,0.03,1446.33,319.16,Phone
ORD-000015,2024-02-19,CUST-0311,William Brown,Food & Beverage,Organic Tea Set,Europe,15,455.17,0.07,6349.62,1736.26,Phone
ORD-000016,2022-07-23,CUST-0220,David Wilson,Office Supplies,Desk Organizer,Middle East,7,316.5,0.07,2060.41,877.0,Online
ORD-000017,2022-01-06,CUST-0123,Sarah Martinez,Furniture,Standing Desk,North America,14,230.75,0.15,2745.92,995.73,Retail Store
